Observer,Code,Family,Genus/species,Trophic_Level,Size(mm),School_size,Start(mm),FID(mm),Activity,Response,Minimum_approach_distance(mm),Location,Covid(Pre/Post)
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,626.977,2,2308.079,1823.486,Passing,evade,1328.207,Backdoor,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,233.653,1,2490.029,1148.415,Passing,evade,1055.053,Backdoor,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,725.904,1,5060.98,3151.052,Passing,evade,2598.84,Backdoor,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,248.836,1,2869.701,1443.566,Passing,evade,1098.8,Backdoor,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,472.498,1,6048.698,1968.924,Passing,evade,1914.96,Backdoor,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,242.537,1,3457.6,1192.034,Passing,evade,840.024,Backdoor,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,257.347,1,2788.135,1398.042,Passing,flee,1365.242,Backdoor,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,241.19,1,2433.516,1670.369,Passing,evade,1648.414,Backdoor,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,251.974,1,2687.041,1605.804,Passing,evade,1051.411,Backdoor,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,232.54,1,2557.446,917.72,Passing,evade,719.092,Backdoor,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,247.103,1,1840.587,1287.982,Passing,evade,891.486,Backdoor,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,236.833,1,4046.433,1145.158,Passing,evade,790.155,Backdoor,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,240.976,3,2466.815,1642.778,Passing,none,749.124,Backdoor,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,243.908,2,1709.057,1294.982,Passing,evade,938.235,Backdoor,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,446.253,1,2349.986,2265.15,Passing,evade,2254.447,Backdoor,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,595.5,1,3105.633,1464.666,Passing,evade,1358.265,Backdoor,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,373.531,1,4725.53,2571.39,Passing,evade,2084.726,Backdoor,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,798.454,2,3427.274,3048.978,Passing,evade,2941.649,Backdoor,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,234.189,10,2034.787,1698.317,Passing,evade,825.407,Backdoor,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,247.078,15,2236.522,1088.345,Passing,evade,964.845,Backdoor,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,265.057,1,2492.252,1228.261,Passing,evade,1044.266,Channel,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,259.317,1,2552.003,1234.665,Passing,none,878.444,Channel,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,254.852,1,1857.033,1157.841,Passing,evade,932.549,Channel,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,251.357,1,2259.84,1431.679,Passing,evade,1447.853,Channel,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,268.371,1,3555.268,1062.857,Passing,evade,709.66,Channel,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,255.418,1,5915.777,2764.601,Passing,evade,2561.872,Channel,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,299.942,1,2770.729,1190.543,Passing,none,774.521,Channel,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,744.448,1,4993.812,1373.234,Passing,evade,1370.746,Channel,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,337.067,1,5481.427,1833.489,Passing,evade,1700.306,Channel,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,260.579,1,2550.739,1640.633,Passing,evade,1121.096,Channel,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,299.436,10,2384.49,1382.702,Passing,evade,834.766,Channel,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,516.424,1,2322.068,1382.153,Passing,evade,1346.35,Channel,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,275.805,1,2374.039,1886.433,Passing,evade,1001.022,Channel,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,331.481,1,2787.096,2026.582,Passing,evade,1954.733,Channel,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,336.129,1,2500.517,1271.363,Passing,evade,1166.364,Channel,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,451.469,1,7216.29,1473.643,Passing,evade,1104.348,Channel,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,285.378,1,2925.039,865.792,Passing,evade,663.275,Channel,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,588.567,1,3058.152,2084.3,Passing,evade,1650.032,Channel,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,387.205,1,3849.976,3092.92,Passing,evade,3004.39,Channel,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,291.239,1,2942.45,2943.281,Passing,evade,2806.07,Channel,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,256.821,1,5381.887,3229.905,Passing,flee,2178.767,Keyhole,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,264.682,1,3328.981,1571.204,Passing,evade,1504.77,Keyhole,Post
Andrew,CAME,Carangidae,Caranx melampygus,Piscivore,288.671,4,4391.618,1508.596,Passing,evade,1376.175,Keyhole,Post
