Observer,Code,Family,Genus/species,Trophic_Level,Size(mm),School_size,Start(mm),FID(mm),Activity,Response,Minimum_approach_distance(mm),Location,Covid(Pre/Post)
Andrew,NALI,Acanthuridae,Naso lituratus,Herbivore,290.92,1,3343.769,1608.41,Passing,evade,926.286,Backdoor,Post
Andrew,NALI,Acanthuridae,Naso lituratus,Herbivore,278.882,1,3611.396,2165.47,Passing,none,1294.229,Backdoor,Post
Andrew,NALI,Acanthuridae,Naso lituratus,Herbivore,293.187,1,4801.417,2851.24,Passing,evade,1113.394,Backdoor,Post
Andrew,NALI,Acanthuridae,Naso lituratus,Herbivore,274.754,1,3636.545,3246.496,Passing,evade,1670.997,Backdoor,Post
Andrew,NALI,Acanthuridae,Naso lituratus,Herbivore,327.157,1,4294.356,2892.447,Feeding,flee,2187.138,Backdoor,Post
Andrew,NALI,Acanthuridae,Naso lituratus,Herbivore,268.73,1,2856.756,1126.817,Passing,none,916.243,Backdoor,Post
Andrew,NALI,Acanthuridae,Naso lituratus,Herbivore,119.976,1,3874.956,1382.12,Passing,evade,1126.507,Backdoor,Post
Andrew,NALI,Acanthuridae,Naso lituratus,Herbivore,253.706,1,3379.941,732.468,Passing,flee,721.48,Backdoor,Post
Andrew,NALI,Acanthuridae,Naso lituratus,Herbivore,289.359,1,2528.857,1163.863,Passing,evade,873.538,Backdoor,Post
Andrew,NALI,Acanthuridae,Naso lituratus,Herbivore,272.946,1,2662.486,1206.322,Passing,evade,862.917,Backdoor,Post
Andrew,NALI,Acanthuridae,Naso lituratus,Herbivore,347.559,5,5148.149,2633.482,Passing,evade,2575.141,Backdoor,Post
Andrew,NALI,Acanthuridae,Naso lituratus,Herbivore,291.721,1,4175.919,1354.122,Passing,evade,934.942,Backdoor,Post
Andrew,NALI,Acanthuridae,Naso lituratus,Herbivore,272.792,1,3590.815,1632.913,Passing,evade,1162.434,Backdoor,Post
Andrew,NALI,Acanthuridae,Naso lituratus,Herbivore,365.444,1,2897.35,898.263,Passing,none,809.342,Backdoor,Post
Andrew,NALI,Acanthuridae,Naso lituratus,Herbivore,248.165,1,2757.909,1282.079,Passing,evade,1180.836,Backdoor,Post
Andrew,NALI,Acanthuridae,Naso lituratus,Herbivore,298.788,1,3232.445,1462.577,Passing,evade,1002.215,Backdoor,Post
Andrew,NALI,Acanthuridae,Naso lituratus,Herbivore,232.678,1,3325.229,1715.189,Passing,evade,1380.297,Backdoor,Post
Andrew,NALI,Acanthuridae,Naso lituratus,Herbivore,368.618,1,3620.107,1540.013,Passing,none,957.874,Backdoor,Post
Andrew,NALI,Acanthuridae,Naso lituratus,Herbivore,287.272,1,3488.456,891.722,Passing,evade,828.05,Backdoor,Post
