Observer,Code,Family,Genus/species,Trophic_Level,Size(mm),School_size,Start(mm),FID(mm),Activity,Response,Minimum_approach_distance(mm),Location,Covid(Pre/Post)
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,194.637,1,4437.881,1649.205,Passing,evade,884.45,Backdoor,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,202.516,1,3121.877,1099.34,Passing,evade,869.944,Backdoor,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,133.152,1,2773.353,1538.397,Passing,evade,1521.167,Backdoor,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,207.503,1,3166.368,1225.589,Passing,evade,1186.786,Backdoor,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,181.176,1,2936.371,1917.862,Passing,evade,873.446,Backdoor,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,146.67,3,3681.153,803.192,Passing,evade,739.048,Backdoor,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,165.633,1,2960.751,3090.533,Passing,flee,1457.394,Backdoor,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,146.232,1,3947.285,1797.998,Passing,evade,969.47,Backdoor,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,188.789,1,4504.276,2322.296,Passing,evade,1132.01,Backdoor,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,158.67,1,2719.432,1478.063,Passing,evade,1209.513,Backdoor,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,267.797,1,6046.116,1644.603,Feeding,none,932.632,Backdoor,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,176.662,1,2733.795,2031.806,Passing,evade,930.322,Backdoor,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,152.645,1,5623.235,2446.308,Passing,evade,1450.616,Backdoor,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,160.586,1,3886.444,1640.837,Passing,evade,976.651,Backdoor,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,195.363,100,4576.581,1212.67,Passing,evade,1204.019,Backdoor,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,203.2,1,4296.904,1787.593,Feeding,none,851.923,Backdoor,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,162.853,1,17089.56,1597.598,Passing,evade,1483.254,Backdoor,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,171.921,1,2697.199,2567.266,Passing,evade,1414.955,Backdoor,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,140.853,10,3629.501,1760.044,Passing,flee,1145.951,Backdoor,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,189.933,1,3549.142,1531.714,Passing,evade,997.78,Backdoor,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,191.233,1,1679.044,1405.41,Passing,evade,869.872,Channel,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,230.094,1,1804.742,1002.166,Feeding,none,734.253,Channel,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,213.997,1,2786.866,1024.849,Passing,none,1022.096,Channel,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,151.552,2,4506.284,1053.03,Passing,none,772.744,Channel,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,185.097,1,3765.686,919.635,Passing,evade,685.374,Channel,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,142.35,1,4357.663,3179.091,Passing,flee,916.823,Channel,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,161.026,1,2657.857,893.293,Passing,evade,749.227,Channel,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,185.281,1,822.134,668.438,Passing,evade,652.277,Channel,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,250.045,1,2775.197,1532.784,Passing,flee,1378.796,Channel,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,199.189,1,3789.756,1159.606,Passing,evade,1000.434,Channel,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,178.524,3,2664.461,1338.592,Passing,evade,815.581,Channel,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,171.531,1,4407.258,953.733,Passing,flee,721.343,Channel,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,180.821,1,2914.66,1530.185,Passing,none,783.855,Channel,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,241.991,3,2314.933,1197.077,Passing,evade,816.451,Channel,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,184.112,1,3453.678,1524.662,Passing,evade,815.391,Channel,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,192.694,5,6866.257,1323.431,Passing,evade,1094.119,Channel,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,198.535,1,2864.238,847.194,Passing,evade,773.943,Channel,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,182.512,1,3348.642,979.964,Passing,evade,804.801,Channel,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,169.991,1,3155.989,839.786,Feeding,none,779.101,Channel,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,269.368,1,8930.967,1127.443,Passing,evade,742.196,Keyhole,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,482.873,1,10022.948,2984.342,Passing,evade,757.144,Keyhole,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,195.633,2,3389.162,1867.232,Passing,evade,851.757,Keyhole,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,217.44,1,3246.138,2347.244,Passing,evade,1034.971,Keyhole,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,197.03,1,4568.656,1322.496,Passing,evade,1005.123,Keyhole,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,156.759,1,2657.305,1349.794,Passing,evade,666.45,Keyhole,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,212.447,1,3687.741,2702.158,Passing,evade,902.903,Keyhole,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,163.709,1,3738.341,1106.069,Passing,evade,733.615,Keyhole,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,197.653,1,1448.334,881.421,Passing,evade,666.165,Keyhole,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,171.895,1,4487.478,1499.711,Passing,flee,1473.311,Keyhole,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,162.13,1,1482.764,1332.025,Passing,evade,792.501,Keyhole,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,191.84,1,3940.739,947.531,Passing,evade,755.74,Keyhole,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,175.99,1,2568.713,1674.064,Passing,evade,687.572,Keyhole,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,168.833,1,4136.793,963.995,Feeding,none,808.769,Keyhole,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,193.124,1,2159.727,973.64,Feeding,none,741.085,Keyhole,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,211.311,1,6877.504,2609.732,Passing,evade,1038.221,Keyhole,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,215.524,1,4333.674,1063.779,Feeding,none,805.52,Keyhole,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,200.109,1,5363.613,1143.958,Feeding,none,862.041,Keyhole,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,182.743,1,3706.783,1968.402,Passing,evade,956.603,Keyhole,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,142.226,15,2840.763,1700.756,Passing,evade,1086.552,Witches_Brew,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,140.983,2,3764.271,965.985,Passing,flee,832.093,Witches_Brew,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,124.646,1,1254.23,953.626,Passing,flee,934.337,Witches_Brew,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,101.425,1,3440.191,1263.32,Passing,flee,1257.557,Witches_Brew,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,131.192,1,2714.715,1733.926,Passing,evade,1136.717,Witches_Brew,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,162.042,1,4740.817,2199.965,Passing,evade,1250.491,Witches_Brew,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,164.139,1,3102.182,1727.518,Passing,evade,688.042,Witches_Brew,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,131.279,4,3128.246,871.119,Passing,flee,756.819,Witches_Brew,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,334.536,1,10284.056,3367.743,Passing,flee,2346.47,Witches_Brew,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,194.921,1,2650.413,1097.567,Passing,evade,732.012,Witches_Brew,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,123.873,1,2743.418,1639.744,Passing,flee,894.197,Witches_Brew,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,191.556,1,3226.764,1601.694,Passing,flee,1311.592,Witches_Brew,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,135.016,1,3401.277,1812.649,Passing,evade,803.473,Witches_Brew,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,220.05,1,2483.264,771.008,Feeding,none,716.817,Witches_Brew,Post
Andrew,SCPS,Scaridae,Scarus psittacus,Herbivore,198.672,1,2144.196,1548.956,Passing,flee,1300.363,Witches_Brew,Post
