Observer,Code,Family,Genus/species,Trophic_Level,Size(mm),School_size,Start(mm),FID(mm),Activity,Response,Minimum_approach_distance(mm),Location,Covid(Pre/Post)
Andrew,SCRU,Scaridae,Scarus rubroviolaceus,Herbivore,508.559,1,4921.728,2342.651,Passing,evade,2178.034,Backdoor,Post
Andrew,SCRU,Scaridae,Scarus rubroviolaceus,Herbivore,589.306,1,3768.218,1683.649,Passing,none,1312.535,Backdoor,Post
Andrew,SCRU,Scaridae,Scarus rubroviolaceus,Herbivore,374.016,1,4115.897,2464.39,Passing,flee,2410.347,Backdoor,Post
Andrew,SCRU,Scaridae,Scarus rubroviolaceus,Herbivore,509.903,100,5853.568,1594.285,Passing,none,814.467,Backdoor,Post
Andrew,SCRU,Scaridae,Scarus rubroviolaceus,Herbivore,439.668,1,8140.605,2983.106,Passing,evade,2495.856,Backdoor,Post
Andrew,SCRU,Scaridae,Scarus rubroviolaceus,Herbivore,556.261,1,7138.8,3916.796,Passing,flee,1912.149,Backdoor,Post
Andrew,SCRU,Scaridae,Scarus rubroviolaceus,Herbivore,592.795,4,4199.611,1138.362,Passing,flee,963.159,Backdoor,Post
Andrew,SCRU,Scaridae,Scarus rubroviolaceus,Herbivore,636.588,1,2322.73,1848.361,Passing,flee,1782.024,Backdoor,Post
Andrew,SCRU,Scaridae,Scarus rubroviolaceus,Herbivore,487.677,1,8647.771,2911.934,Passing,evade,2812.981,Backdoor,Post
Andrew,SCRU,Scaridae,Scarus rubroviolaceus,Herbivore,646.951,1,5116.248,2980.721,Passing,evade,2330.484,Backdoor,Post
Andrew,SCRU,Scaridae,Scarus rubroviolaceus,Herbivore,588.407,1,4786.775,1333.467,Passing,evade,1197.174,Backdoor,Post
Andrew,SCRU,Scaridae,Scarus rubroviolaceus,Herbivore,696.188,1,6092.669,2747.573,Passing,evade,2679.184,Backdoor,Post
Andrew,SCRU,Scaridae,Scarus rubroviolaceus,Herbivore,649.95,1,5085.065,6053.624,Passing,evade,1897.518,Backdoor,Post
Andrew,SCRU,Scaridae,Scarus rubroviolaceus,Herbivore,486.504,1,6240.699,4141.828,Passing,evade,2324.023,Backdoor,Post
Andrew,SCRU,Scaridae,Scarus rubroviolaceus,Herbivore,184.044,1,4136.294,4078.228,Passing,flee,3225.328,Backdoor,Post
Andrew,SCRU,Scaridae,Scarus rubroviolaceus,Herbivore,682.201,1,4487.014,1281.386,Passing,none,863.07,Backdoor,Post
Andrew,SCRU,Scaridae,Scarus rubroviolaceus,Herbivore,554.235,1,6753.613,3402.331,Passing,none,2799.573,Backdoor,Post
Andrew,SCRU,Scaridae,Scarus rubroviolaceus,Herbivore,546.964,1,6610.244,2861.221,Passing,evade,2515.717,Backdoor,Post
Andrew,SCRU,Scaridae,Scarus rubroviolaceus,Herbivore,392.204,2,3965.889,2220.88,Passing,evade,2071.025,Backdoor,Post
Andrew,SCRU,Scaridae,Scarus rubroviolaceus,Herbivore,490.572,1,6936.895,3920.8,Passing,none,1038.987,Backdoor,Post
