Observer,Code,Family,Genus/species,Trophic_Level,Size(mm),School_size,Start(mm),FID(mm),Activity,Response,Minimum_approach_distance(mm),Location,Covid(Pre/Post)
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,100.18,1,2396.626,1086.854,Passing,none,718.672,Backdoor,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,94.943,1,2871.031,1694.981,Passing,evade,1078.769,Backdoor,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,149.688,1,2465.786,1545.011,Passing,evade,889.177,Backdoor,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,179.238,1,2383.346,1506.528,Passing,none,1162.62,Backdoor,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,89.809,1,2409.809,1126.678,Passing,evade,738.614,Backdoor,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,229.023,1,2346.832,1247.811,Passing,evade,1031.253,Backdoor,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,109.389,1,2443.805,2041.549,Passing,none,873.011,Backdoor,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,103.715,1,2458.761,1123.021,Passing,none,909.498,Backdoor,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,94.669,1,1809.452,1207.082,Passing,none,993.268,Backdoor,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,119.111,1,2145.9,1647.316,Passing,evade,751.319,Backdoor,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,91.57,1,3036.76,789.804,Passing,evade,754.77,Backdoor,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,98.542,1,8989.565,1985.58,Passing,evade,668.251,Backdoor,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,156.925,1,4395.51,1500.184,Passing,none,1044.964,Backdoor,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,161.255,6,4040.203,1441.148,Passing,none,1403.724,Backdoor,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,84.402,1,1719.938,1812.404,Passing,evade,1116.962,Backdoor,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,99.732,1,5359.452,1197.448,Passing,evade,703.152,Backdoor,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,87.507,1,3006.733,1845.476,Passing,flee,899.682,Backdoor,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,143.151,2,1877.509,930.695,Passing,none,713.154,Backdoor,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,96.824,1,3709.047,962.766,Passing,evade,757.137,Backdoor,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,113.751,1,2227.672,1044.709,Passing,evade,727.834,Channel,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,139.767,1,1213.978,1190.726,Passing,evade,794.922,Channel,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,190.427,1,5873.96,1916.289,Passing,none,764.126,Channel,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,102.045,1,3220.964,1410.322,Passing,none,735.384,Channel,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,112.421,1,1909.909,699.896,Passing,evade,672.944,Channel,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,130.339,1,923.114,818.658,Passing,evade,681.198,Channel,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,167.142,1,2837.5,989.332,Feeding,none,775.404,Channel,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,120.265,1,1880.415,1580.372,Passing,evade,948.784,Channel,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,123.294,1,2644.141,959.664,Passing,evade,708.287,Channel,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,98.645,1,1144.327,1118.711,Passing,evade,720.515,Channel,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,204.818,1,2857.591,1623.425,Passing,none,757.169,Channel,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,108.005,1,5884.854,1658.758,Passing,evade,882.864,Channel,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,158.005,1,2419.174,985.262,Passing,none,683.401,Channel,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,108.327,1,2496.132,754.022,Feeding,none,685.414,Channel,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,151.626,1,2639.77,1112.475,Passing,none,655.475,Channel,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,110.093,1,2382.227,1345.542,Passing,evade,689.858,Channel,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,103.923,1,2815.766,929.749,Passing,evade,743.677,Channel,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,175.018,1,3410.615,1354.985,Passing,none,759.225,Channel,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,127.55,1,1375.382,1230.303,Passing,evade,687.799,Keyhole,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,105.267,1,2147.439,1060.302,Passing,flee,778.934,Keyhole,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,135.77,1,1528.66,1380.77,Passing,evade,940.154,Keyhole,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,92.076,1,2279.622,1496.554,Passing,evade,956.885,Keyhole,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,102.8,1,873.42,1142.544,Passing,evade,763.437,Keyhole,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,119.019,1,2453.703,884.018,Feeding,none,770.212,Keyhole,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,182.658,1,1949.012,1764.526,Passing,evade,951.477,Keyhole,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,173.708,1,1630.128,757.38,Feeding,none,702.486,Keyhole,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,141.262,1,2292.574,1211.911,Passing,evade,1099.733,Keyhole,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,100.031,1,2671.257,1373.846,Passing,evade,948.242,Keyhole,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,132.944,1,995.962,779.008,Passing,flee,662.145,Keyhole,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,149.651,1,1621.987,1232.102,Passing,none,831.904,Keyhole,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,104.238,1,7443.672,846.17,Passing,none,746.102,Keyhole,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,100.678,1,2634.262,1184.891,Passing,evade,968.034,Keyhole,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,108.519,1,3279.315,1224.492,Passing,none,779.246,Keyhole,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,131.618,1,2877.335,2357.443,Passing,evade,802.506,Keyhole,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,112.316,1,1471.318,812.955,Passing,none,683.619,Keyhole,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,90.931,1,1076.361,1070.724,Feeding,none,914.385,Keyhole,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,148.86,1,3113.31,1046.577,Passing,evade,725.504,Keyhole,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,122.156,1,1466.974,948.186,Passing,none,729.971,Witches_Brew,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,150.179,1,2053.393,1448.99,Passing,evade,914.305,Witches_Brew,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,116.099,1,2745.502,875.79,Passing,flee,748.389,Witches_Brew,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,129.883,1,1492.003,1286.47,Passing,evade,925.155,Witches_Brew,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,289.09,1,2514.769,1043.134,Passing,evade,730.257,Witches_Brew,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,152.127,1,2141.559,867.157,Passing,evade,710.539,Witches_Brew,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,113.271,1,1138.704,804.43,Passing,evade,714.961,Witches_Brew,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,113.691,15,2103.02,1595.983,Passing,evade,1341.989,Witches_Brew,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,171.54,1,2370.013,2139.427,Passing,flee,898.283,Witches_Brew,Post
Andrew,THDU,Labridae,Thalassoma duperrey,Invertebrate_feeder,113.603,1,2484.862,1292.102,Passing,evade,1139.222,Witches_Brew,Post
