Observer,Code,Family,Genus/species,Trophic_Level,Size(mm),School_size,Start(mm),FID(mm),Activity,Response,Minimum_approach_distance(mm),Location,Covid(Pre/Post)
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,286.121,1,3416.611,2474.675,Feeding,evade,2349.288,Backdoor,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,341.123,1,4481.59,1288.578,Passing,evade,1245.189,Backdoor,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,348.838,20,2476.562,1292.735,Passing,evade,983.246,Backdoor,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,332.451,1,1802.287,1419.251,Passing,evade,1381.793,Backdoor,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,334.291,1,1872.744,1762.432,Passing,evade,1277.991,Backdoor,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,330.979,3,2918.252,1326.038,Passing,evade,1107.832,Backdoor,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,357.383,1,7677.253,1919.73,Passing,evade,1111.5,Backdoor,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,309.95,1,3747.711,1146.541,Passing,flee,886.811,Backdoor,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,316.862,30,4931.76,872.531,Passing,flee,739.065,Backdoor,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,311.774,1,5966.961,1497.278,Passing,evade,1181.542,Backdoor,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,320.121,3,2552.645,2199.192,Passing,evade,1658.931,Backdoor,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,421.906,1,4619.8,1577.901,Passing,evade,1076.866,Backdoor,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,291.182,2,2503.517,1396.221,Passing,evade,889.814,Backdoor,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,331.331,1,3564.964,1307.413,Passing,evade,1145.899,Backdoor,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,347.328,1,3213.833,1822.225,Passing,evade,1640.613,Backdoor,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,331.193,1,4944.517,1265.309,Passing,flee,803.634,Backdoor,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,338.834,1,4099.28,2628.248,Passing,flee,2096.982,Backdoor,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,315.223,1,3599.152,1731.557,Passing,flee,1605.028,Backdoor,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,316.197,3,3547.72,1612.52,Passing,flee,1075.264,Backdoor,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,329.651,1,2441.823,1245.596,Passing,evade,919.869,Backdoor,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,306.85,3,3257.521,1472.234,Passing,flee,1211.648,Channel,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,272.339,1,3205.915,1392.537,Passing,evade,1278.126,Channel,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,318.059,2,5772.679,1489.907,Passing,evade,859.507,Channel,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,326.402,1,7174.01,1124.528,Passing,evade,1007.627,Channel,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,307.526,1,2951.426,2119.154,Passing,flee,1969.174,Channel,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,287.878,1,2283.412,1117.285,Feeding,flee,1008.182,Channel,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,356.688,1,4899.619,970.65,Passing,flee,958.726,Channel,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,291.362,1,2892.871,1454.575,Passing,evade,1426.691,Channel,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,283.29,1,3338.534,1478.135,Passing,flee,1421.888,Channel,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,272.579,1,3515.152,1833.611,Passing,evade,1721.065,Channel,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,298.143,1,3956.109,946.447,Passing,evade,798.17,Channel,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,307.829,5,4474.714,736.639,Passing,flee,657.828,Channel,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,354.179,1,2290.172,1228.892,Passing,evade,1207.129,Channel,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,297.778,4,2058.903,1520.771,Passing,evade,1519.08,Channel,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,365.929,10,2417.723,1912.78,Passing,evade,1451.102,Channel,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,329.884,1,3865.546,2581.948,Passing,evade,1743.255,Channel,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,299.958,1,2159.231,1591.854,Passing,evade,1032.669,Channel,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,602.019,15,4857.714,2750.89,Passing,flee,1588.385,Channel,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,289.9,1,3824.565,2022.998,Passing,flee,1778.396,Channel,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,330.31,1,3884.672,1512.565,Passing,flee,1120.945,Channel,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,320.147,4,3025.276,1218.679,Passing,shelter,907.85,Keyhole,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,327.571,1,1358.838,1077.632,Passing,shelter,914.28,Keyhole,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,298.367,10,2165.221,1309.655,Passing,evade,984.826,Keyhole,Post
Andrew,ACBL,Acanthuridae,Acanthurus blochii,Herbivore,400.428,1,4111.406,1844.982,Passing,none,1306.377,Keyhole,Post
