Observer,Code,Family,Genus/species,Trophic_Level,Size(mm),School_size,Start(mm),FID(mm),Activity,Response,Minimum_approach_distance(mm),Location,Covid(Pre/Post)
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,127.135,1,1990.621,1422.765,Passing,evade,918.135,Backdoor,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,176.929,1,2833.196,1769.224,Passing,evade,1095.581,Backdoor,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,154.633,1,2948.952,1258.261,Passing,evade,883.878,Backdoor,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,171.874,1,1965.202,1198.271,Passing,evade,1044.594,Backdoor,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,180.083,1,2010.234,1532.967,Passing,evade,935.582,Backdoor,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,180.612,1,3303.736,1647.457,Passing,evade,967.762,Backdoor,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,166.39,1,3254.413,1738.962,Passing,evade,1588.979,Backdoor,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,151.53,1,2302.8,1790.374,Passing,evade,1067.83,Backdoor,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,138.095,1,2553.95,1001.16,Passing,evade,767.552,Backdoor,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,167.103,1,3753.422,1889.901,Passing,evade,644.596,Backdoor,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,152.256,1,1863.217,1341.381,Passing,evade,1193.575,Backdoor,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,160.92,1,4480.447,1554.859,Passing,evade,1083.347,Backdoor,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,143.168,1,3664.777,1377.609,Passing,evade,866.967,Backdoor,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,124.539,2,2314.707,1551.957,Passing,flee,1533.978,Backdoor,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,210.21,1,3081.228,1307.069,Passing,evade,995.516,Backdoor,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,167.389,1,2916.502,1163.242,Passing,evade,1007.3,Backdoor,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,151.501,1,2502.552,1539.36,Passing,evade,921.892,Backdoor,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,165.732,1,2930.371,903.016,Passing,evade,742.77,Backdoor,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,140.122,1,2206.341,1062.835,Passing,evade,916.474,Backdoor,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,130.356,1,4259.104,866.452,Feeding,none,812.603,Backdoor,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,172.061,1,4784.916,1130.258,Passing,evade,880.697,Channel,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,152.766,1,3255.975,889.739,Passing,evade,676.126,Channel,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,151.464,1,3695.312,995.287,Passing,evade,731.026,Channel,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,163.891,1,1809.473,1465.646,Passing,evade,797.355,Channel,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,182.193,1,2909.017,1410.985,Passing,evade,976.477,Channel,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,207.157,1,4032.091,1060.977,Passing,evade,849.163,Channel,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,136.564,1,1836.616,899.799,Passing,evade,763.448,Channel,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,151.407,1,2132.9,1567.329,Passing,evade,922.701,Channel,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,157.314,1,1811.897,1328.765,Passing,evade,861.494,Channel,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,141.399,1,4011.143,1554.64,Passing,evade,1484.896,Channel,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,163.131,1,2205.7,1331.207,Passing,evade,898.394,Channel,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,125.839,1,3481.025,1298.767,Passing,evade,1031.192,Channel,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,146.431,1,1492.19,797.498,Passing,evade,690.006,Channel,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,167.556,1,1915.373,940.15,Passing,evade,833.46,Channel,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,195.868,1,3200.385,2137.536,Passing,evade,1621.104,Channel,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,138.263,1,2248.267,1210.245,Passing,evade,901.59,Channel,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,144.091,1,3390.355,1695.163,Passing,evade,1549.768,Channel,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,144.135,1,2803.645,1391.1,Passing,evade,994.976,Channel,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,138.649,1,3663.926,1029.997,Passing,evade,837.813,Channel,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,151.241,1,1803.365,1353.021,Passing,evade,1044.444,Channel,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,162.641,1,2717.314,879.499,Passing,evade,677.479,Keyhole,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,162.951,1,2253.93,1455.203,Passing,evade,841.197,Keyhole,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,160.497,1,2943.02,1030.329,Passing,none,1004.416,Keyhole,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,144.498,1,2351.162,1323.473,Passing,evade,900.53,Keyhole,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,145.699,1,1897.406,918.108,Passing,evade,778.105,Keyhole,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,153.436,1,2563.329,906.504,Passing,none,677.181,Keyhole,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,162.14,1,2033.411,1690.622,Passing,evade,1222.219,Keyhole,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,174.072,1,2654.445,1122.496,Passing,evade,942.058,Keyhole,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,253.458,1,2701.624,2525.742,Passing,shelter,654.941,Keyhole,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,132.181,1,3367.989,1506.825,Passing,evade,1231.367,Keyhole,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,155.156,1,2010.585,920.607,Passing,evade,799.492,Keyhole,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,151.931,1,2816.468,1096.302,Passing,evade,842.706,Keyhole,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,160.637,1,3180.545,892.363,Passing,evade,884.428,Keyhole,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,165.93,1,1710.45,955.244,Passing,shelter,804.877,Keyhole,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,150.244,1,2165.484,1557.165,Passing,evade,1405.218,Keyhole,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,185.757,1,3874.942,1849.124,Passing,shelter,984.516,Keyhole,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,155.904,1,2381.932,1549.808,Passing,evade,1082.929,Keyhole,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,170.593,1,1542.435,958.073,Passing,shelter,729.309,Keyhole,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,139.021,1,2105.381,1012.977,Passing,evade,787.646,Keyhole,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,144.899,1,1992.588,988.077,Passing,evade,922.592,Keyhole,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,111.479,1,2980.179,1866.219,Passing,evade,1793.044,Witches_Brew,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,139.217,1,2201.488,891.664,Passing,evade,776.642,Witches_Brew,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,116.247,1,3008.612,1405.446,Passing,evade,1149.167,Witches_Brew,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,138.752,1,3134.991,1832.866,Passing,evade,945.369,Witches_Brew,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,149.917,1,2543.704,1591.106,Passing,evade,1339.36,Witches_Brew,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,130.575,1,2417.557,1089.392,Passing,evade,874.112,Witches_Brew,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,131.12,1,2908.402,1314.526,Passing,evade,1001.968,Witches_Brew,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,137.421,1,1733.435,714.98,Passing,evade,711.881,Witches_Brew,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,141.67,1,2929.203,1029.774,Passing,evade,853.099,Witches_Brew,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,126.854,1,1573.181,1015.462,Passing,evade,974.443,Witches_Brew,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,141.195,1,3129.088,1311.521,Passing,evade,1300.036,Witches_Brew,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,156.2,1,2097.044,1196.629,Passing,evade,1057.571,Witches_Brew,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,136.133,1,2316.811,1382.423,Passing,evade,906.4,Witches_Brew,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,137.917,1,2015.463,817.949,Passing,evade,748.279,Witches_Brew,Post
Andrew,ACNF,Acanthuridae,Acanthurus nigrofuscus,Herbivore,154.829,1,2741.562,1547.888,Passing,evade,929.515,Witches_Brew,Post
