Observer,Code,Family,Genus/species,Trophic_Level,Size(mm),School_size,Start(mm),FID(mm),Activity,Response,Minimum_approach_distance(mm),Location,Covid(Pre/Post)
Andrew,ACTR,Acanthuridae,Acanthurus triostegus,Herbivore,140.827,1,5025.709,1180.023,Passing,evade,983.302,Backdoor,Post
Andrew,ACTR,Acanthuridae,Acanthurus triostegus,Herbivore,172.578,1,1853.974,933.079,Passing,evade,924.949,Backdoor,Post
Andrew,ACTR,Acanthuridae,Acanthurus triostegus,Herbivore,177.274,100,3975.464,1117.388,Passing,none,894.188,Backdoor,Post
Andrew,ACTR,Acanthuridae,Acanthurus triostegus,Herbivore,174.962,1,3483.624,1194.777,Passing,evade,1093.547,Backdoor,Post
Andrew,ACTR,Acanthuridae,Acanthurus triostegus,Herbivore,160.721,1,3266.352,1128.33,Passing,evade,1070.832,Backdoor,Post
Andrew,ACTR,Acanthuridae,Acanthurus triostegus,Herbivore,169.528,1,2163.215,1271.8,Passing,evade,956.022,Backdoor,Post
Andrew,ACTR,Acanthuridae,Acanthurus triostegus,Herbivore,193.301,1,2419.456,1132.968,Passing,evade,747.544,Backdoor,Post
Andrew,ACTR,Acanthuridae,Acanthurus triostegus,Herbivore,149.799,25,3684.014,1344.111,Passing,evade,817.756,Backdoor,Post
Andrew,ACTR,Acanthuridae,Acanthurus triostegus,Herbivore,,1,4957.331,2361.995,Passing,evade,1312.568,Backdoor,Post
Andrew,ACTR,Acanthuridae,Acanthurus triostegus,Herbivore,185.046,1,3400.449,1443.159,Passing,evade,1074.351,Backdoor,Post
Andrew,ACTR,Acanthuridae,Acanthurus triostegus,Herbivore,169.122,6,2887.898,836.943,Passing,none,764.001,Backdoor,Post
Andrew,ACTR,Acanthuridae,Acanthurus triostegus,Herbivore,177.413,1,2917.208,958.524,Passing,evade,760.54,Backdoor,Post
Andrew,ACTR,Acanthuridae,Acanthurus triostegus,Herbivore,182.609,1,2017.196,1353.085,Passing,evade,905.929,Backdoor,Post
Andrew,ACTR,Acanthuridae,Acanthurus triostegus,Herbivore,156.01,150,2635.973,1535.55,Passing,evade,1148.023,Backdoor,Post
Andrew,ACTR,Acanthuridae,Acanthurus triostegus,Herbivore,190.044,1,2542.35,1264.309,Passing,none,810.538,Backdoor,Post
Andrew,ACTR,Acanthuridae,Acanthurus triostegus,Herbivore,151.644,1,3223.558,1248.613,Passing,evade,1056.366,Backdoor,Post
